user_id,user_blitz_rating,user_win_rate,user_lose_rate,user_draw_rate,user_game_count,user_black_win_rate,user_black_lose_rate,user_black_draw_rate,user_black_game_count,user_rating_deviation,user_highest_blitz_opponent_rating,user_second_highest_blitz_opponent_rating,user_third_highest_blitz_opponent_rating,user_win_streak_current,user_win_streak_max,user_loss_streak_current,user_loss_streak_max,user_total_games_played,user_op,op_rating_deviation,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,op_total_games_played,op_win_streak_current,op_win_streak_max,op_loss_streak_current,op_loss_streak_max,game_result
furi_za,1231.0,78.0,21.0,0.0,69.0,63.888888888888886,30.55555555555556,5.555555555555555,36.0,47.28,1343.0,1279.0,1270.0,0.0,10.0,1.0,2.0,76,Cesar_Delgado,52.58,50.0,50.0,0.0,6.0,1058,1.0,8.0,0.0,12.0,-1
Litelants,1840.0,46.0,49.0,5.0,100.0,43.13725490196079,50.98039215686274,5.88235294117647,51.0,45.52,2022.0,2021.0,2016.0,0.0,10.0,3.0,12.0,7831,taisetsu,45.37,47.0,49.0,4.0,100.0,2499,0.0,9.0,1.0,9.0,-1
Mohammad_m3d,1479.0,50.0,47.0,3.0,100.0,50.0,48.0,2.0,50.0,45.23,1677.0,1659.0,1659.0,3.0,12.0,0.0,11.0,3038,theila333,45.28,52.0,47.0,1.0,100.0,2493,0.0,12.0,4.0,14.0,-1
seyed1349zia,1434.0,54.0,41.0,5.0,100.0,57.99999999999999,36.0,6.0,50.0,45.32,2180.0,2151.0,2066.0,0.0,9.0,1.0,25.0,2265,dayo210579,45.06,44.0,52.0,4.0,100.0,17900,0.0,14.0,1.0,17.0,-1
Shikabella,1395.0,46.0,48.0,6.0,100.0,42.0,54.0,4.0,50.0,45.1,1661.0,1658.0,1642.0,0.0,12.0,1.0,11.0,8395,elpluto,45.27,61.0,35.0,4.0,100.0,11272,1.0,11.0,0.0,10.0,-1
bukidron,1533.0,60.0,40.0,0.0,15.0,34.61538461538461,63.46153846153846,1.9230769230769231,52.0,45.91,2143.0,2017.0,1961.0,0.0,7.0,1.0,11.0,698,Humbertvaoal,105.13,41.0,56.0,3.0,100.0,3362,0.0,9.0,1.0,12.0,1
Tymanov_V,1771.0,45.0,45.0,9.0,66.0,39.62264150943396,54.71698113207547,5.660377358490567,53.0,45.56,2142.0,2025.0,2023.0,0.0,15.0,1.0,15.0,6065,sah_mt,118.88,0.0,0.0,0.0,0.0,23,0.0,3.0,4.0,8.0,-1
warsawplayer,1536.0,66.0,31.0,3.0,100.0,60.0,36.0,4.0,50.0,45.06,2014.0,1889.0,1872.0,7.0,11.0,0.0,13.0,3899,Mihej,45.0,59.0,38.0,3.0,100.0,20517,2.0,11.0,0.0,14.0,-1
Walkere,1631.0,46.0,45.0,9.0,100.0,42.85714285714285,46.93877551020408,10.20408163265306,49.0,45.01,1814.0,1806.0,1799.0,1.0,11.0,0.0,11.0,3708,StudentofchessRp,45.18,56.0,39.0,5.0,100.0,2454,1.0,9.0,0.0,8.0,-1
fezfez_05,1265.0,53.0,42.0,3.0,84.0,42.85714285714285,48.97959183673469,8.16326530612245,49.0,49.15,1451.0,1450.0,1437.0,0.0,6.0,3.0,6.0,116,omidkakavandi95,63.5,34.0,63.0,3.0,100.0,36,1.0,1.0,0.0,4.0,-1
antibiotik1985,1696.0,60.0,36.0,4.0,100.0,51.92307692307693,46.15384615384615,1.9230769230769231,52.0,45.7,1833.0,1817.0,1805.0,0.0,12.0,1.0,12.0,3687,CATfish14,79.0,0.0,0.0,0.0,0.0,87,0.0,4.0,0.0,7.0,1
