user_id,blitz_rating
AmbartsumianTyhran,2519.0
mohammadkhattab,1335.0
iokiki,1460.0
Jukkele,1983.0
pilbge,1932.0
ab8128,1327.0
onegreypawn,2033.0
GKrymn,1682.0
ironman654,1497.0
Arcas9,746.0
Stanley1972,2196.0
GCV23,1406.0
osama230,1105.0
furqon1,1269.0
Qts,2363.0
hosein233,1668.0
nas66,1208.0
samsimba199,889.0
FabianMaxhera,1338.0
Napoleon2883,1300.0
BlakeTantrum,2554.0
DaGo24,2600.0
LucaGek,1571.0
akhilughade7494,1507.0
DonBee,1173.0
duncanmyer,1622.0
loborino,1188.0
ns_68,1520.0
MaxiGalaxi,894.0
sepid_58,1260.0
lihoffa,2327.0
straightpown,2202.0
MS-Dhanwin,1428.0
DruzhkovVN,947.0
Sulacy,1500.0
Lokeshswami,792.0
LarsUlrichTama,1365.0
Cooper6,2035.0
TrentAllgood,1827.0
SaquonBarkley26,2373.0
emakarov,1932.0
abdoelbetagy,974.0
Messsi2023,2496.0
PakiahLegend,1315.0
PadawanAsokaTano,2603.0
dragan961,2429.0
Piter237,1297.0
m123p123,1861.0
edwinZid,1408.0
arlYonok,2481.0
Dmorineau,1473.0
suratram,1169.0
Stinovo,1421.0
vrf4ever,2278.0
Ildar_Khaziiev,1377.0
shadow_strike,1303.0
hanti83,1383.0
jesselroy99,2616.0
rezeszamliy,2311.0
Dj0nf1,1005.0
JarJarBeers,2466.0
PabloMinda,2287.0
swarley72,1299.0
Ali_valizadeh,2565.0
Sebas_Xd12,1033.0
SworlakeCity,1385.0
gabrielmonchimanchas,2120.0
Pjanyi_ShMayster,1912.0
Dynamictroops,1974.0
fan_fheihung,2242.0
leoybkim,1426.0
SirNass,1243.0
wccrgaming2023,1670.0
Artem163111,2395.0
SnoozieDoes,1952.0
Satishswain,1248.0
vinijr77,2816.0
Ricardoski,2003.0
MichRum,2227.0
lerzel123,1020.0
AllGunsBlazing22,2603.0
theimeto,1946.0
Ayush_Ranjan819,1966.0
rsumitrout3,1351.0
Alirezaaaaaaa7,1453.0
harry06,1463.0
Morcus1963,2052.0
kitikita123,1598.0
TheRegista,1345.0
semipro623,1246.0
resiliente99,2801.0
Positional_player008,2120.0
SavvaVetokhin2009,2582.0
GardaGv2,1099.0
AntonTsaruyk,1303.0
danielithium,1500.0
Gabix94,2546.0
Kolmychkov,2141.0
abbasali1234,2186.0
Zero000001,1590.0
DjMaestro1983,660.0
StormingAngel,1720.0
Miss_Lizzy,1218.0
Ozuna1179,2155.0
djdkfkkfej,1500.0
Heart_of_Fire_Cat,2584.0
FelixHu,944.0
fristaylersmith,1140.0
Obedas,1197.0
coportov57,704.0
Josue_Daza,1406.0
prakhargosain,1975.0
M1h3l,2158.0
Ehaab_ramadan,2044.0
umang_king_2341,1353.0
pantvak,1830.0
Phuong14,2033.0
TolloT,2422.0
sasadj,2091.0
Aatu65536,2301.0
good6666,2008.0
LuuckyyLuke,1700.0
SlumpOnChess,1053.0
SpongeyDad,2238.0
Torry,1830.0
luispahissa,1670.0
Josipan_81,2516.0
jalavi,1256.0
kaomer,2148.0
sreeramg,1151.0
dArTalgnan,2043.0
joudi1000,1090.0
firebobnutting,1062.0
yur1010yur,1908.0
Cultureindustry,2456.0
QaungHyu,1455.0
paulinhosr,1263.0
Killumi95,1021.0
beachboy666,1502.0
Kapss009,1430.0
Ilias999,1369.0
Tomasz57,1830.0
Alzkun,1025.0
Terredorr,1506.0
ohsh8712,1500.0
Azim07,1455.0
AdamCollins,2548.0
Pgchess13,1429.0
w0b3g0n,1461.0
raviteja982000,1119.0
prospectuschess,2209.0
Shuak90,1468.0
Nasissimo2,1527.0
imperialxadrez1,1838.0
hapinok,1987.0
volshebnik_shrek,2490.0
Gatotkoco995,2304.0
hesh46,1812.0
julwado,1472.0
fujiwaratakumi1905,606.0
iliafza,1251.0
JHamberg,2001.0
DrBananaa,2336.0
dewey988,1383.0
Goraspi,1390.0
santyago_myr,760.0
sss6567,2297.0
visselrunner,1416.0
J_Pumba,1477.0
ADZAN_Bin_ACHMAD,1664.0
pasionxelchess,1838.0
Schpiller,2461.0
nunezhereje,2089.0
sardw,1327.0
hungzhao,2608.0
Casrem,516.0
Khiall_ccn,1486.0
mikhael10tal,2025.0
yoseph2013,2650.0
Magisterberg,2642.0
TBNR763,2357.0
Pawndercover,2434.0
ogbublik,1077.0
MMohitM,904.0
TheBarbaric,1438.0
Mumraaah,1196.0
ajjbrzrf,1512.0
maick82,2344.0
Metaru_sama,1456.0
rezoons,2192.0
sayanrath2013,1077.0
k_eops,1029.0
iyad2017,860.0
JustAmature,1446.0
chimeg,2039.0
thneed,1057.0
aloneinnthedark,1443.0
TrixR4Kidzzz,2459.0
