,user_id,blitz_rating,total_games_played
379,Aleksandr_1957,1757.0,7239
380,obraad,1412.0,854
381,OriaMike,1456.0,338
382,Abchife,1193.0,1150
383,hoslo,1711.0,43951
384,arazhuseynov,1789.0,7239
385,vietan0,1210.0,145
386,BlackJaguar0,1401.0,43
387,Sonnenscheinender,1601.0,8807
388,radu25,1315.0,1392
389,Impu1se1,1104.0,54
390,AmeerIsmael_Lazo,1327.0,1324
391,Raehgalchess,2088.0,22
392,Granny-Bmmy123,1400.0,2495
393,KnightChrks,1439.0,86
394,othmanaloide2,1500.0,0
395,UyV,1396.0,6092
396,Franek369,1349.0,5918
397,Dimaslon-13,1495.0,536
398,sky-destiny,1459.0,571
399,Luca363636,1423.0,5653
400,tenine,1496.0,7079
401,maxb1959,1385.0,8885
402,Zukulus,1508.0,4107
403,SamBott67,1518.0,5930
404,RealMortreD,1333.0,38
405,Zatluanga,1427.0,3330
406,HorstReicht,1453.0,25351
407,RemyGonzales12,1684.0,49
408,DarkPatate,1304.0,62
409,Jakeh18,1779.0,3299
410,IgorRogozin,1785.0,181
411,hossein_qanbari,1369.0,1225
412,liufi,1864.0,11980
413,Wonderboof,1219.0,35281
414,Tsudago,1934.0,849
415,makiavelli2011,1774.0,17065
416,doctorjpizzle,1727.0,246
417,lukas_schmoigl,1419.0,7487
418,tchegalo,1674.0,325
419,olivertwisted,1362.0,1621
420,kevin_vr13,1502.0,12
421,JaqueMother,1388.0,1119
422,amirh12,1366.0,225
423,A32miller,1262.0,1729
424,chesskiller_23,1256.0,1924
425,Svileni49,1519.0,2299
426,ufftauba,1752.0,14705
427,ryzman17,1251.0,112
428,Zamasu_14,1793.0,788
429,isac_J,1076.0,9
430,leonel_de_freitas9,1544.0,8
431,CesarS96,1484.0,6483
432,corle007,1757.0,16507
433,dfczcv,1342.0,6177
434,StefanoApi,1500.0,0
435,DaviOliv3ra,1487.0,68
436,Gabrielorjikalu,1626.0,7970
437,Aizac336,1378.0,221
438,Fedwhisk,1825.0,1931
439,Mataberk,1843.0,1241
440,Bhuvikaarora,1320.0,1774
441,johnd_gomez,1696.0,2904
442,Darmol_XXX,1500.0,0
443,Logiciels3655,1222.0,99
444,happyrajesh,1398.0,13276
445,Noonlight,1351.0,16402
446,vitek_fft,1427.0,16689
447,woleit,1985.0,12627
448,Monarca_Chess,1685.0,11771
449,MusicalHumorouspawn,1678.0,130
450,tryingSomeMoves,1849.0,2322
451,HydroOwl,946.0,1950
452,KingRichd_3rd,1739.0,9905
453,outra_pessoa,1778.0,6697
454,DonquixoteRobin,1204.0,7
455,tilin-insano,2230.0,12
456,ChessGuess,1448.0,4026
