user_id,blitz_rating,win_rate,lose_rate,draw_rate,game_count,rating_deviation
yeyomateos,1941.0,50.0,47.0,3.0,100.0,47.19
njnewman,857.0,34.0,65.0,0.0,96.0,158.27
eteasers08,1800.0,28.0,63.0,8.0,100.0,45.89
kiflaaa,2432.0,65.0,30.0,4.0,69.0,60.32
pantelif,1352.0,61.0,36.0,3.0,100.0,45.03
Pohjala,2444.0,60.0,25.0,15.0,100.0,48.45
Pedro_10_Esp,1178.0,27.0,72.0,0.0,33.0,46.48
Labinsk777,2070.0,55.0,43.0,2.0,100.0,45.09
Kanon1,2297.0,54.0,38.0,8.0,100.0,45.02
Aryanp_11,1584.0,45.0,55.0,0.0,100.0,103.8
mohashmawy,1441.0,44.0,50.0,6.0,100.0,45.0
Elsofany,1421.0,51.0,45.0,4.0,100.0,45.06
Ahmed-abdelsattar,2417.0,51.0,41.0,8.0,100.0,45.31
NebilSouissi,1982.0,57.0,40.0,2.0,100.0,45.28
Amalrajp83,1626.0,51.0,45.0,4.0,100.0,45.26
blindcrocodile,2627.0,53.0,42.0,5.0,100.0,45.34
C_T_A_C_R_M_6_A,1954.0,47.0,48.0,5.0,100.0,45.64
yousfbo,1861.0,100.0,0.0,0.0,3.0,80.66
reza-mirmanafi,1008.0,100.0,0.0,0.0,3.0,86.24
ahmad_sasi,1763.0,56.0,44.0,0.0,100.0,78.4
Bahiaqueijo,1935.0,45.0,35.0,20.0,100.0,155.46
GKyrey,2465.0,71.0,21.0,8.0,100.0,45.65
Lew68,1942.0,42.0,49.0,9.0,100.0,45.16
Unkown-User,1162.0,50.0,50.0,0.0,60.0,54.88
PEDROPALTA,2372.0,25.0,66.0,8.0,72.0,46.38
maldaj,2400.0,65.0,34.0,0.0,69.0,45.1
carlosaandres,1134.0,40.0,60.0,0.0,100.0,45.6
Andrey-Sazonov,1876.0,60.0,37.0,3.0,100.0,66.89
sp88ky,2542.0,54.0,39.0,7.0,100.0,45.18
LhakpaLa,2337.0,36.0,64.0,0.0,100.0,45.11
deadking77,1993.0,45.0,51.0,3.0,93.0,46.11
omer21,1457.0,48.0,48.0,4.0,100.0,45.02
PepeLePewGT,1917.0,47.0,49.0,4.0,100.0,45.03
zerdejarenba20062005,2206.0,51.0,43.0,6.0,100.0,45.03
Gabriel-2016,2176.0,50.0,46.0,4.0,100.0,45.01
wcarmona,1487.0,53.0,40.0,7.0,100.0,45.54
MaguHel,2105.0,51.0,45.0,4.0,100.0,45.25
tumteezy,2003.0,43.0,48.0,9.0,100.0,45.0
TheArcticCold,2551.0,48.0,46.0,6.0,100.0,47.5
massimomapelli,1497.0,48.0,47.0,5.0,100.0,45.0
M_Onee,2561.0,33.0,55.0,12.0,100.0,45.32
Diono5023,826.0,52.0,46.0,2.0,100.0,90.18
TheGreatGatsby2,1316.0,48.0,47.0,5.0,100.0,50.41
LaughingCoffins,1871.0,43.0,55.0,2.0,100.0,45.13
Creative68,2519.0,48.0,42.0,10.0,100.0,60.24
AsaThor,1371.0,40.0,53.0,7.0,100.0,45.33
Homamkaso,1247.0,48.0,46.0,6.0,100.0,45.17
Kaludjer1,1431.0,51.0,45.0,4.0,100.0,45.07
niebo1337,1521.0,53.0,42.0,5.0,100.0,71.03
QWERT0808,2438.0,0.0,100.0,0.0,12.0,66.57
JL86,2222.0,48.0,52.0,0.0,100.0,45.04
theworsteverplayer,1222.0,47.0,51.0,2.0,100.0,47.54
karlspaceoskar,1346.0,55.0,43.0,2.0,100.0,46.24
dansteptim,2452.0,46.0,38.0,16.0,100.0,45.04
brsa,1448.0,44.0,49.0,7.0,100.0,45.06
Chandorjose,2206.0,46.0,47.0,7.0,100.0,45.01
kingspawntwo,1828.0,69.0,26.0,5.0,100.0,113.82
Prof_Ferri,1334.0,55.0,41.0,4.0,100.0,46.16
Rasim1978,2489.0,45.0,44.0,11.0,100.0,45.06
PRMSportUp1,2085.0,62.0,36.0,2.0,100.0,0.0
chess_ced,1313.0,63.0,35.0,2.0,100.0,0.0
igotlini,2420.0,49.0,42.0,9.0,100.0,45.1
plectro,1911.0,48.0,48.0,4.0,100.0,45.02
rookenstein,1960.0,59.0,38.0,3.0,100.0,45.03
Raiden_ShogunC3,2624.0,52.0,42.0,6.0,100.0,45.08
Okan0612,1189.0,20.0,80.0,0.0,15.0,86.53
akniles,2211.0,49.0,49.0,2.0,100.0,45.13
lukawoo,1406.0,51.0,49.0,0.0,100.0,45.03
Road_to_back,2269.0,45.0,49.0,6.0,100.0,45.13
dpschreber,1408.0,54.0,38.0,8.0,100.0,45.47
Baenetse,1412.0,50.0,47.0,3.0,100.0,45.08
abesar,1058.0,66.0,33.0,0.0,36.0,47.64
PooravNahata,1375.0,63.0,36.0,0.0,36.0,109.04
Maklin1245,1664.0,70.0,29.0,0.0,51.0,49.3
YakovlevSergey,2470.0,54.0,40.0,6.0,100.0,45.11
Franconahuel2007,2068.0,52.0,46.0,2.0,100.0,45.0
crestuno,1364.0,47.0,47.0,6.0,100.0,45.09
drjohn45,982.0,46.0,50.0,3.0,84.0,62.73
Chessfann345,2428.0,39.0,47.0,14.0,100.0,48.59
AdharvaB,978.0,8.0,92.0,0.0,100.0,177.59
Aleks_Medve19,1070.0,57.0,42.0,0.0,21.0,89.02
Berserk-modee,2349.0,38.0,53.0,7.0,78.0,51.4
AlexanderSkripnik,1203.0,0.0,100.0,0.0,3.0,227.1
alexandr_69,1439.0,48.0,49.0,3.0,100.0,45.0
Bismarkbhobhojani,2281.0,48.0,46.0,6.0,100.0,45.15
Ruslan_Cherkasov,1511.0,36.0,59.0,4.0,66.0,74.54
XJose,1452.0,46.0,51.0,3.0,100.0,45.43
quemaestro3,2452.0,47.0,46.0,7.0,100.0,48.22
Mauton1,1767.0,53.0,43.0,4.0,100.0,54.8
Abulfayzkhon,1238.0,50.0,46.0,4.0,100.0,45.21
eleven4y,1191.0,49.0,44.0,7.0,100.0,45.41
aryangupta11,899.0,33.0,63.0,4.0,100.0,50.1
hores86,1982.0,51.0,46.0,3.0,100.0,45.24
Michaeld1958,2389.0,50.0,38.0,12.0,100.0,45.01
vaski5,1676.0,50.0,47.0,3.0,100.0,45.0
A_TS,1423.0,41.0,50.0,8.0,72.0,45.0
nilsbobban,1471.0,48.0,46.0,6.0,100.0,45.01
AnsoriJepara,2233.0,48.0,47.0,5.0,100.0,45.06
condorcanqui_63,2037.0,53.0,47.0,0.0,100.0,45.05
Sidletsky_Andrey,2195.0,44.0,45.0,11.0,100.0,45.12
reighy,1356.0,0.0,50.0,50.0,6.0,93.63
mauriciolago,1051.0,44.0,50.0,6.0,100.0,45.72
Drunkenstyle36,2051.0,57.0,31.0,11.0,100.0,46.0
FaustiOro,2878.0,71.0,23.0,6.0,100.0,45.1
barres,1397.0,51.0,48.0,1.0,100.0,46.71
jimtoide,1979.0,46.0,49.0,5.0,100.0,45.16
CH-Subject029,2481.0,48.0,43.0,9.0,100.0,45.7
Pescaderocalvo,2577.0,49.0,38.0,13.0,100.0,45.04
Hmail3425,1802.0,43.0,53.0,4.0,100.0,45.98
surendra08,1822.0,64.0,35.0,0.0,42.0,84.79
rr19042003,2047.0,49.0,47.0,4.0,100.0,49.56
GeniusTNT,2352.0,56.0,36.0,8.0,100.0,0.0
Bkjhhh,1360.0,38.0,61.0,1.0,100.0,0.0
Muerteblanca5,2352.0,42.0,55.0,3.0,100.0,45.02
tobymaxl,1192.0,42.0,47.0,11.0,100.0,45.04
nagibator_Andrey,1323.0,50.0,46.0,4.0,100.0,45.34
JrbeDePalo,2239.0,49.0,49.0,2.0,100.0,48.51
qdlijy,1853.0,48.0,47.0,5.0,100.0,49.1
delapoutre,2499.0,27.0,60.0,12.0,99.0,45.0
PileDarda,1483.0,51.0,47.0,2.0,100.0,45.09
savitariano,2370.0,53.0,38.0,9.0,100.0,45.03
Andyvasmagt,923.0,50.0,50.0,0.0,6.0,74.49
Sarg12,1002.0,61.0,36.0,3.0,100.0,45.47
Positionalplayer4,2383.0,36.0,50.0,14.0,100.0,45.02
aslan899,1441.0,37.0,54.0,9.0,100.0,45.69
JPRangex,1015.0,51.0,47.0,2.0,100.0,45.05
Superpogs_17,2251.0,0.0,0.0,100.0,3.0,52.3
FoolMeOneTime,2479.0,65.0,35.0,0.0,100.0,45.1
luzovsky-56,2346.0,74.0,20.0,4.0,43.0,58.6
krokozhyk,1862.0,45.0,52.0,3.0,100.0,45.0
FFFIcher,1877.0,40.0,56.0,3.0,100.0,45.0
tribleg1,1012.0,33.0,66.0,0.0,9.0,125.05
KINGMART,1444.0,43.0,52.0,5.0,100.0,45.07
gambitodrey,1907.0,48.0,42.0,10.0,100.0,45.23
Rdmuzuki,2061.0,49.0,46.0,5.0,100.0,45.1
shelomov4,2108.0,37.0,56.0,7.0,100.0,45.08
Darhon2,2340.0,39.0,57.0,3.0,100.0,45.06
shelkbabe,881.0,60.0,40.0,0.0,45.0,47.13
mostafahelix,1454.0,40.0,59.0,1.0,100.0,45.23
KJSingh,1052.0,51.0,47.0,2.0,100.0,45.11
Taonty,1566.0,48.0,51.0,1.0,100.0,45.0
StevieJack,1205.0,45.0,47.0,8.0,100.0,45.2
Yon10,672.0,48.0,48.0,4.0,100.0,48.19
All4subhra,1357.0,50.0,48.0,2.0,100.0,46.07
BWilliams001,1502.0,53.0,41.0,6.0,100.0,45.11
ManuTal,2230.0,48.0,48.0,4.0,100.0,45.16
ReluctantCannibal,2841.0,68.0,18.0,12.0,48.0,61.66
bluefireball9,1817.0,51.0,45.0,4.0,100.0,247.83
Chess-Student75,1763.0,49.0,48.0,3.0,100.0,67.04
lindberg222,1535.0,48.0,47.0,5.0,100.0,45.51
Barry_Lindon,2565.0,40.0,50.0,10.0,100.0,45.05
zarasa03,974.0,36.0,64.0,0.0,100.0,45.08
Asaphin,2136.0,45.0,47.0,8.0,100.0,45.21
EdwinStraver,2199.0,40.0,56.0,4.0,100.0,45.01
Bern_Azar,1240.0,55.0,41.0,4.0,100.0,51.56
denis_1218,2278.0,53.0,42.0,5.0,100.0,70.34
nzrskrpnk,1409.0,50.0,44.0,6.0,100.0,45.08
Hydra77,1357.0,44.0,55.0,1.0,100.0,45.05
Alex18654,901.0,37.0,62.0,0.0,96.0,45.02
GOMEZ2019,2367.0,60.0,34.0,6.0,100.0,45.0
X-Berg,2335.0,56.0,34.0,10.0,100.0,45.64
Andep123,2348.0,49.0,47.0,4.0,100.0,45.01
Capablanca86,2246.0,55.0,41.0,4.0,100.0,45.12
MelihTalha_Celik,568.0,22.0,72.0,5.0,18.0,90.39
Greg4235,1826.0,45.0,53.0,2.0,100.0,45.0
rednaskelA01,2501.0,50.0,44.0,6.0,100.0,45.01
GreenCorp,1488.0,63.0,36.0,0.0,33.0,70.96
Kalmi01,1448.0,51.0,45.0,4.0,100.0,48.47
KNaik_88,1195.0,29.0,64.0,5.0,51.0,66.02
sonomano,908.0,49.0,51.0,0.0,100.0,45.0
daumultamuie,2396.0,50.0,50.0,0.0,12.0,50.22
Duenenstrand,2024.0,48.0,44.0,8.0,100.0,45.53
Kalvi07,2422.0,51.0,45.0,4.0,100.0,45.02
rjd9116,1438.0,100.0,0.0,0.0,3.0,48.68
Unknown_9086,2377.0,56.0,37.0,6.0,100.0,45.09
Duubik,2336.0,50.0,42.0,8.0,100.0,45.19
msq7,2199.0,51.0,41.0,8.0,100.0,48.17
icasc,2160.0,55.0,39.0,6.0,100.0,45.32
inalcengiz,1290.0,62.0,37.0,0.0,24.0,60.03
Danilka313,1427.0,38.0,57.0,4.0,100.0,45.69
chess_follower,2685.0,52.0,32.0,16.0,100.0,45.0
Gustav83,1138.0,49.0,50.0,1.0,100.0,45.01
Stallion28,2577.0,62.0,31.0,7.0,100.0,45.01
freak1000,2391.0,56.0,37.0,7.0,100.0,45.01
Chess_kombate,2014.0,54.0,36.0,10.0,100.0,45.13
HelpfulLion18,2100.0,48.0,45.0,7.0,100.0,45.21
felipemr84,1234.0,49.0,47.0,4.0,100.0,45.23
MaximCatzen,2367.0,75.0,18.0,5.0,37.0,63.33
brahim-20anis,1900.0,49.0,49.0,2.0,100.0,48.23
uwuSANAuwu,1812.0,45.0,45.0,9.0,33.0,131.95
Andrey11976,2721.0,55.0,33.0,11.0,81.0,45.04
alinawafiyauni,1304.0,50.0,49.0,1.0,100.0,45.24
Ditoo,1976.0,41.0,53.0,6.0,100.0,45.1
maha-1,1294.0,45.0,52.0,3.0,100.0,45.12
DoomT,1113.0,38.0,55.0,7.0,100.0,45.12
Bodoque55,2612.0,46.0,45.0,9.0,100.0,45.0
Now_Suffer,2627.0,29.0,47.0,23.0,51.0,66.95
KrishChai12,1352.0,49.0,41.0,10.0,100.0,45.02
Loscuates,1977.0,67.0,30.0,3.0,100.0,70.97
iacobmuler,1437.0,45.0,54.0,1.0,100.0,47.7
loganiary,747.0,47.0,51.0,2.0,100.0,96.2
chess-noob86,1256.0,46.0,48.0,6.0,100.0,45.22
LCY_DollyParton,2437.0,52.0,42.0,6.0,100.0,47.68
MDI_Coder,622.0,41.0,58.0,0.0,93.0,100.13
aclaus,1973.0,48.0,48.0,4.0,100.0,45.15
slipperyguy,2488.0,16.0,83.0,0.0,18.0,51.93
Pedri09,1420.0,47.0,50.0,3.0,100.0,48.28
denis-rucoba-tuanama,2289.0,64.0,33.0,3.0,100.0,45.06
Na_Osi,1294.0,47.0,52.0,1.0,100.0,45.03
Paulowian,1668.0,53.0,44.0,3.0,100.0,87.8
