user_id,op_id,game_result
wwvargas,IceWitch27,-1
SYRIAN11,Armando_Blanco,-1
Rainers2ooo,elputoano,-1
romildojuliano,pauls-paulenius,-1
AnthonyAL,QuarantineFunChess,-1
apelsinkaaaaa,ajimura,-1
Siberkaan,antonio25146,1
KSF04,luismi90,-1
Mantequilla18,mahmod010,-1
morteza13383,emreser,-1
benguela2019,Elevoc,-1
mikidkno,xdemonx,1
Ivan8486,Mehdiii1998,-1
Vecccctor,,401
PrckoNutrient,,401
Gurujithegeat123,Ji-Yooo,-1
misterpaolino,Koenigsspringer56,-1
JoseCamero,DISHONORED4720,-1
manonthem00n,wingsoficarus116,0
Mykull21,AlamoSanAntonio,-1
drkavorkian,arva9999,-1
Karl58,jaimebm,-1
NurseGladys,ynrynl,-1
dingisking,Arzhaan039,-1
Burcin_22,ziedovich,-1
Sofia_Andreeva,esteban09021,-1
viktor2005,Gauri4096,-1
zhmurkot,wonderbro,-1
Pedr_oBALA,tobecontinuedLE,-1
Denis98888,MMSHAHIN,-1
vasasy09,hopkido,1
MansLight777,,401
FrogLegs500,,401
Narayan1998,Aadvik2013,1
AB2,LucyLulu,1
Alexandra_Sapogova,maxstronge,-1
Jaysuper777,DrHeadgear,1
rgmagpantay,Aymis333,1
alex2015antonov,Alexandraeskina,1
deandk786,Becksstar89,1
reddotblue,EnesFurkanTall,0
tintin91fr,Molecular_Layering,-1
eeshnaik,Chinchiletto,1
onurkyk26,pgiridhar,-1
Arkian_Empire,saeed_6767,1
Cavad_4466,kingmule,-1
jafarrovjavar,Daniele1979,1
garakh,degibons,-1
summer_class469,immortal_karpov,-1
achintyaakula,telegraphchess,-1
SchaakKoningBas,boomboom11,1
Kovalenko_Sergey,Lucky_BTS207,-1
walkthrough,plungercameraman2015,-1
Entrenador3talentos,DarkRooster,-1
Verygoodchesspersons,czcoubie,-1
crayz3e,prayogatrisna,-1
Serelllka,Mertolance,-1
SKalachn,Alf19,-1
TeymurBaba147,dendoll,-1
TienHaiVoDich,jimmyprotonn,-1
Reyenigmatico77,Electro2722009,-1
StaticNoyze,Eojpamz,-1
valbore,Dipaolad,1
KuldeepR,donchijote_11,1
XBoru,Furesalim22,-1
Tonista,jongurruperez,-1
rodriguez1984,Blikk,0
ParanoidStalin,Makedad,1
Alea_lacta_Est,Radmir35,-1
DamonRogers,kflan2phx,1
Daanilo_BR,Ruben058,-1
EmaSMach,joseluiz024,-1
randompawnstar,BANJI101,1
AdhiiiOfficial,see_kim,1
DentdeLeon,DIM118,-1
Giannini_Panini,Roamn,-1
golayadamczyk1510,zulalelif,-1
chessnoobian,Alisadek,1
check-n-mate,ThomasVetterli,1
salazer,Emanuxadrez,-1
DavisJoseph5,Yogi2104,-1
blundermaster3005,,401
elcin555,,401
CoolMasterX,keyvanh,-1
Valtip,PRAB2019,-1
RoMaKov1,Chesslila,-1
mrhorse79,khupeplizman,-1
rcastro2023,Eagleshieldsbay,-1
ghjkk,damm72,1
hssanals,attosi,1
IbraBMF,SashaMunkuev1961,1
vadimoshepkov2011,aminrm,-1
RalfTryhard,Lino85,-1
sinalot,,401
Agrani_sharma,,401
yuvt,shoenemann,-1
vivaan0973,marce0509,1
gramaster,Chucho00,-1
Aldio,Timomichelin,-1
DanilPoz,Allanmektm,-1
avivrathi,Bhuvi2002,-1
zm97,astonmartin007,1
VirtusImpavida,FlatCover,-1
vladfc,shil321,-1
David_2018,AlbertoOslo,-1
FirstVF4,akaashka,-1
SychevDaniil,ChessFlar,-1
Eddinebach,delorenzom,1
Dxrilex,cedric220,-1
ppreyna94,Uriel1917,1
SuperCh-Turbo-Engine,tonrovbetterversion,-1
maty23,AficionadoGabriel,1
GimmeTheQueen,VNSAntos,1
maniac101,ar_o_ra,-1
Pianoss,nkivin,-1
polymati,Opana77,-1
Leva6,Dr-Zo,-1
slydoee,IGAM11,-1
pwn509,AMomchilov,-1
TatouJaune,warrior33333,-1
ioannis_nikolaidis,Alkis999,1
danawy,hwii,-1
Maicols19,dd5semmkh,-1
fasciad,missinglinknz,-1
emrre55,Falkyrie23,-1
high_ho,marko_blanka,-1
Boss_Player_SLCA,Alto8,1
Gursimarsingh,Ian_Brucal27,-1
Wasil1968,Rudolf-R,-1
Camentaa,Madi76,-1
bigsmilefriend,nrd86,1
Diomaiute,GrainneNiMhaille,-1
Abhi403,ffrdt,1
SOWBARNIKASRI,jaff3r,-1
leroybrown789,Wolf_34,1
MahmoudTorab,chessmaster062009,-1
Kurama0909,sollbrawl,-1
memo10,Butilove,-1
marksimilian,Azamat-1987_Turaliev,-1
JOELJOZF,,401
Appenzell_2020,,401
TakeMeintoDarkForest,smorris,-1
FasterThanMaster,FinalGun,1
augustinaaa,quentinreinhard,-1
Queens_dont_cry,vasilis29,-1
GareevA,FredrikHammer,-1
Enrique005,alsalman_chess,-1
Maestrache,Raflax,1
Starcat004,MiguChess23,-1
Indvaasu,daperdomop,-1
RLMPAJEDREZ,The_Zak,1
e2e3e4,chupacabritos,1
benprieur,Zirene,1
Commander_Alikkk,pradyuman2037,-1
avgch,Andrey1412,1
rygusi,desideriusP,1
ONLINEcrew,vertige383,-1
yemei56,plumbus,-1
oscar1107,mofuq,-1
gpjanik,hossamhnr,-1
Adamka0713,Gregory_Tsybulko,-1
ssfr,TheLastPalomin,-1
Jimfreecs,martono_kendal,0
Sigi_myProfitel,balan08,1
h2006_7october,karansavekar,-1
heyfreak,Vanderleyxadrez,-1
hiteshvayugundla,,401
Bursaspor1,,401
Danifleitas1985,davoodamiri,-1
Yazeed_Stairs,MohamedAyman7777,0
aadhritr,boomsinclair,-1
SABBEli,DirmauskasL,1
wahba87,copado,1
notyouboynami,drecaryes,1
Duzcespor,ohnomyjuicers,-1
TimothyKim,ayaktauyutucam,-1
Vllarinovich,widodoey,-1
TheDarknestAngelOK,Nikita_1207-14,-1
Cro_Pegula,Irish_blues,-1
leochessq,mars-3000,1
FigueroaPuN,Blaze_5,1
lolochessplayer4711,grkmynm,-1
KirillGen,THE_LAST_HOKAGE,-1
Tundraaa,SaltyTorra,1
petrastepanova,Darmstadter,1
mirobr,,401
binjaipirua99,,401
Pavlykandriyishyn,Renegasparov,1
rolf69,johnyjonn,-1
curylebron,Osmanemreaydin,-1
icathexis,burkutchess,-1
Dhananjoy2002,NoIdeaButTrying,-1
Srujan_here,CatsEleven,-1
jchung14,Sharpblade27,-1
romaporra,Yashiko,-1
fitimhaliti11,tenace,1
gaston1896,Roderick2012,1
mardanov-mansur,idus_ONIC,-1
Guillermo-Albines,Danet124214,-1
Neadickvatik_2024,New-Style-2023,0
arlesio,arunbvishnu,-1
HluliM,jeka16,-1
Newtochess1024,Jimboslice777,1
Tricerapops,jvhy,1
WITaja,angelfcabello,-1
chesschance,itwillbeoversoon,1
Enteresan1,vytas14,1
CapitaineKebec,Adercilio,-1
Masoud1356,Ismailkhadjiev,-1
anonWasTaken,antoniioman,1
mrjohnson422,Snavneet,-1
zohaib_ali123,,401
MinaSedrak,,401
TheBushWookiie,pablito777,-1
mentallyill2222,deschend,0
ich_hier-wer_da,antango,-1
Arabayto,oyvind1011,1
mahmadddd,josuers13,1
diegoramirez1312,,401
siddiq6012,,401
TedyKabTasikmalaya,abahzanasCEN_INA,-1
DusanBano43,HorribleHorrible,1
tedangsar_tedingsir,,401
BOOOOSSSS,,401
Omagarwal3d_dps,ahmetbasv,-1
nicolasrdcx,Raferreirardcx,-1
minuchehr,HasanAbuElayyan,-1
Ronik_Patra,Samarth_Pandey_Pro,-1
AMEYAK,Osiriseyes,1
TvJohan,eedekarunakar,1
Bigbobmango2,Gibbous64,-1
Chili_dogs1673,oubad,-1
Bastastic,seniormatanza,-1
sekvr88,Telly_V,-1
miraoo,AllieTheChessBot,1
Locimarc,MouMohsen3300,0
moonbow77,sk1966,1
dimarko,Alexs59deRov,-1
humb,ikermaster14,-1
ORLOVM4S,vitgusar,1
Justagame1234,amirmyrzayy,-1
DaddyK00l,meibahar,1
HarishGandham,Kanthecarowin,-1
redeyejedi808,konax,-1
serpontyn,notrich22,1
babbayaaga,jensberggren,-1
criya6382,Bestoff3,1
bibbo,koreecmag,-1
mapomme,Franz_P0,0
lzmann,Azaran17,-1
Ard_e,KrtexTheKinx,1
Sargsyan123,rvbini,1
Akiba1965,,401
aripranji,,401
Conyaz,agustinquiroga,1
lucianomuller25,PettyGood,-1
Desposyni,AmineBk,1
klassanov,Artem_FirsaceX,-1
RAEL_2104,Smellma,-1
acona,misha80,1
Carmelo_Bondi,Hakmoh,1
Kmukz83,PremB-Chand,1
AdlerV22,Hitesh1199,-1
wonotobo,kasparovgenoa,-1
kananhilhammer,Etersson,1
ccgf071017,laufer23,1
GhostrB11,yssn93,1
ohgodagrenade,WAELREYAD,1
cucurucucucantaba,NateShadow,-1
souzvv2000,ozgurduino,0
chickenlollipop,SergioChouza,-1
SavinovSergey,RusTsyplakov,1
VtoroyOdin,Sylvain34830,-1
