user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating,rating_bin,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len
ILda50,54.0,45.0,0.0,33.0,1803.0,1800-1819,48.333,48.333,3.333,60.0,44.615,52.308,3.077,65.0,C50,C53,A21,A06,0.293,0.362,0.293,0.19,0.524,0.286,259.0
DonPatzo,46.0,38.0,16.0,100.0,2278.0,2260-2279,39.062,42.188,18.75,64.0,45.902,37.705,16.393,61.0,A45,A00,B13,A50,0.151,0.698,0.113,0.08,0.7,0.2,258.0
Frogandtoadrfriends,0.0,100.0,0.0,3.0,1347.0,1340-1359,37.5,59.375,3.125,64.0,32.787,62.295,4.918,61.0,A00,A40,C25,D07,0.205,0.295,0.386,0.697,0.105,0.197,268.0
StaniclavGol,0.0,100.0,0.0,3.0,1485.0,1480-1499,28.571,66.667,4.762,42.0,28.788,69.697,1.515,66.0,D00,C50,C00,C45,0.194,0.613,0.161,0.23,0.676,0.095,436.0
mahesh2222,55.0,45.0,0.0,60.0,1550.0,1540-1559,48.387,51.613,0.0,62.0,50.794,44.444,4.762,63.0,A43,B10,D00,B13,0.435,0.355,0.161,0.283,0.433,0.15,347.0
mahirrrrrrr,0.0,100.0,0.0,2.0,1148.0,1140-1159,0.0,100.0,0.0,1.0,0.0,100.0,0.0,1.0,B10,D30,B10,D30,0.0,0.0,0.0,0.0,0.5,0.5,292.0
Rigel806,66.0,33.0,0.0,9.0,2095.0,2080-2099,57.143,36.508,6.349,63.0,51.613,41.935,6.452,62.0,D02,A40,E18,D92,0.191,0.647,0.118,0.143,0.551,0.265,358.0
kemz,42.0,55.0,3.0,100.0,1678.0,1660-1679,44.444,53.968,1.587,63.0,37.097,59.677,3.226,62.0,B00,C50,E40,D39,0.412,0.373,0.216,0.268,0.338,0.282,249.0
Blooody11,57.0,40.0,2.0,100.0,1799.0,1780-1799,55.556,42.857,1.587,63.0,56.452,40.323,3.226,62.0,C50,B01,B02,B10,0.357,0.371,0.243,0.288,0.308,0.385,249.0
J_Carlos41,42.0,52.0,6.0,100.0,1172.0,1160-1179,57.143,39.683,3.175,63.0,45.161,48.387,6.452,62.0,A00,C00,D00,A40,0.172,0.406,0.406,0.364,0.273,0.364,285.0
omaraboushady,42.0,53.0,5.0,100.0,1777.0,1760-1779,50.82,42.623,6.557,61.0,39.062,57.812,3.125,64.0,D02,A04,E60,D11,0.161,0.696,0.107,0.206,0.349,0.317,377.0
stoemn,43.0,48.0,9.0,100.0,1876.0,1860-1879,53.968,41.27,4.762,63.0,35.484,59.677,4.839,62.0,C47,B22,C62,C88,0.179,0.589,0.214,0.143,0.413,0.444,422.0
Elik62,41.0,51.0,8.0,100.0,1570.0,1560-1579,47.541,47.541,4.918,61.0,46.875,48.438,4.688,64.0,B10,D00,D10,D04,0.169,0.525,0.254,0.283,0.533,0.15,402.0
void8,33.0,66.0,0.0,45.0,1577.0,1560-1579,54.688,43.75,1.562,64.0,36.066,59.016,4.918,61.0,A00,C40,E61,B20,0.298,0.456,0.211,0.297,0.172,0.469,374.0
serkankorn,49.0,48.0,3.0,100.0,919.0,900-919,46.774,51.613,1.613,62.0,49.206,50.794,0.0,63.0,A04,C40,B00,A08,0.3,0.417,0.25,0.422,0.5,0.062,318.0
Abdrev,49.0,47.0,4.0,100.0,1374.0,1360-1379,53.226,45.161,1.613,62.0,44.444,52.381,3.175,63.0,C41,A40,C43,B07,0.213,0.639,0.115,0.18,0.754,0.016,252.0
Opossum_Yo,52.0,35.0,13.0,100.0,2041.0,2040-2059,53.226,33.871,12.903,62.0,46.032,34.921,19.048,63.0,D02,B10,A41,D00,0.113,0.629,0.226,0.14,0.791,0.07,369.0
gggDAD,53.0,35.0,12.0,100.0,2313.0,2300-2319,52.381,36.508,11.111,63.0,48.387,38.71,12.903,62.0,B07,D02,E62,E91,0.175,0.619,0.206,0.043,0.723,0.234,699.0
Nautilus_20,32.0,64.0,4.0,100.0,1098.0,1080-1099,34.375,62.5,3.125,64.0,37.705,59.016,3.279,61.0,B50,C50,D00,C44,0.289,0.511,0.133,0.197,0.421,0.368,464.0
Salarin_Trauerweide,50.0,48.0,2.0,100.0,1223.0,1220-1239,38.095,60.317,1.587,63.0,38.71,59.677,1.613,62.0,B00,C50,D00,D30,0.292,0.417,0.188,0.307,0.267,0.307,340.0
MCBogdan,39.0,55.0,6.0,100.0,1611.0,1600-1619,50.0,40.0,10.0,60.0,40.0,58.462,1.538,65.0,C41,D00,C00,D10,0.375,0.446,0.143,0.242,0.742,0.016,274.0
Therooklift,38.0,58.0,3.0,93.0,1522.0,1520-1539,38.983,55.932,5.085,59.0,36.364,60.606,3.03,66.0,C50,A40,A00,C25,0.362,0.426,0.17,0.219,0.644,0.068,324.0
ahadjon_1345,50.0,46.0,4.0,100.0,1313.0,1300-1319,41.379,53.448,5.172,58.0,44.776,55.224,0.0,67.0,B01,B00,C60,C45,0.259,0.333,0.352,0.235,0.221,0.5,263.0
SABBEugeneX,0.0,100.0,0.0,2.0,1287.0,1280-1299,0.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,A00,,A00,,0.0,0.0,0.0,1.0,0.0,0.0,118.0
Massimissa50,53.0,45.0,2.0,100.0,1919.0,1900-1919,56.452,40.323,3.226,62.0,38.095,57.143,4.762,63.0,E20,A40,A65,D88,0.102,0.61,0.271,0.148,0.689,0.164,375.0
Maxim104k,75.0,25.0,0.0,36.0,1305.0,1300-1319,61.29,38.71,0.0,31.0,36.364,63.636,0.0,33.0,B00,C50,C61,C60,0.355,0.387,0.097,0.303,0.424,0.273,372.0
Okky_LCKB,56.0,41.0,2.0,100.0,2148.0,2140-2159,59.091,34.848,6.061,66.0,50.847,44.068,5.085,59.0,A04,A06,B12,B21,0.42,0.406,0.159,0.102,0.388,0.51,259.0
Tmannion,45.0,53.0,2.0,100.0,1025.0,1020-1039,59.322,40.678,0.0,59.0,43.939,56.061,0.0,66.0,C34,C30,C47,B03,0.359,0.422,0.203,0.213,0.623,0.148,321.0
David3006miu,20.0,80.0,0.0,15.0,839.0,820-839,43.284,43.284,13.433,67.0,43.103,46.552,10.345,58.0,C20,C40,A04,C30,0.315,0.37,0.241,0.464,0.286,0.107,245.0
parimah_93,18.0,78.0,3.0,96.0,938.0,920-939,45.0,55.0,0.0,60.0,20.0,73.846,6.154,65.0,C50,D00,B27,C64,0.4,0.45,0.05,0.16,0.42,0.407,414.0
suryono,43.0,53.0,4.0,100.0,2120.0,2100-2119,45.312,51.562,3.125,64.0,44.262,50.82,4.918,61.0,D02,A40,A17,D15,0.214,0.554,0.179,0.172,0.422,0.391,283.0
cxlxred,47.0,46.0,7.0,100.0,1319.0,1300-1319,46.875,46.875,6.25,64.0,40.984,54.098,4.918,61.0,D02,B10,B18,A45,0.436,0.327,0.127,0.127,0.317,0.381,263.0
OscarBCN,53.0,47.0,0.0,100.0,2016.0,2000-2019,48.485,45.455,6.061,66.0,44.068,50.847,5.085,59.0,D00,B01,A34,A40,0.241,0.414,0.345,0.217,0.617,0.167,220.0
Saher_Alheraki16,33.0,66.0,0.0,9.0,1028.0,1020-1039,50.0,50.0,0.0,4.0,33.333,66.667,0.0,6.0,A01,C40,B00,C20,0.25,0.25,0.0,0.5,0.167,0.0,390.0
BennyB_85,42.0,52.0,6.0,100.0,1321.0,1320-1339,48.387,50.0,1.613,62.0,41.27,57.143,1.587,63.0,D00,A40,C30,D01,0.286,0.536,0.179,0.119,0.836,0.045,467.0
