user_op,op_win_streak_current,op_win_streak_max,op_loss_streak_current,op_loss_streak_max
StarFunKull,5.0,5.0,0.0,4.0
ajaykoli,0.0,10.0,2.0,11.0
trojmiastogdynia,0.0,7.0,2.0,10.0
Al_turron,0.0,16.0,3.0,9.0
CarlitosAlcaraz,1.0,10.0,0.0,8.0
KasparovSeinGaertner,1.0,11.0,0.0,10.0
taildraggers,2.0,11.0,0.0,13.0
Gwenuser12,0.0,7.0,1.0,7.0
SokoZ,0.0,17.0,8.0,11.0
chesspyrate,0.0,11.0,1.0,13.0
Catalonia-Kann,0.0,6.0,1.0,6.0
chess_follower,5.0,12.0,0.0,8.0
Hokage007,0.0,12.0,1.0,12.0
DailyTornado,8.0,20.0,0.0,9.0
Mixozya,0.0,7.0,1.0,8.0
Vahidm5995,0.0,10.0,1.0,13.0
mihhak,0.0,15.0,1.0,12.0
SKfox,1.0,10.0,0.0,11.0
UNDER_WORLD,0.0,29.0,1.0,9.0
Amory_Blaine,3.0,3.0,0.0,5.0
TheNotoriousCorn,1.0,6.0,0.0,5.0
ReceFiceBrumBrum,4.0,20.0,0.0,10.0
Zaya_777,0.0,9.0,2.0,4.0
milzral,0.0,1.0,2.0,7.0
jenish1609,0.0,5.0,2.0,13.0
semen_mor,0.0,11.0,2.0,6.0
trescuatro,1.0,19.0,0.0,8.0
shah7754shah,0.0,12.0,1.0,15.0
ruhulaminzaki,0.0,12.0,0.0,10.0
ninoecassandra,0.0,11.0,1.0,11.0
davidahoppe,0.0,18.0,2.0,17.0
PawnGrabber100,0.0,13.0,1.0,10.0
poirot84,0.0,12.0,9.0,9.0
n_skorostensky,1.0,5.0,0.0,5.0
didac29,0.0,3.0,1.0,10.0
mshah1033,1.0,5.0,0.0,4.0
Filipok_149,0.0,6.0,0.0,11.0
adtaylor,0.0,10.0,1.0,9.0
MATEVZ_2014,0.0,11.0,1.0,9.0
UralskKz,1.0,13.0,0.0,26.0
jorgeellgar,0.0,14.0,1.0,12.0
Tejas_Agarwal164,0.0,2.0,1.0,5.0
Ebert_Spider,0.0,8.0,2.0,7.0
haderli,0.0,11.0,1.0,13.0
kobandi,9.0,14.0,0.0,8.0
FirePhoenix89,0.0,14.0,1.0,9.0
MrWabiSabi,3.0,9.0,0.0,4.0
kbrk,0.0,10.0,1.0,12.0
Lynx_BOT,1.0,32.0,0.0,31.0
jesgluckner,0.0,13.0,1.0,14.0
Schweigenn2,0.0,8.0,1.0,11.0
Mansur123Y,0.0,9.0,1.0,7.0
Anonymous2010_11010,2.0,9.0,0.0,10.0
Wutangclan36,2.0,13.0,0.0,13.0
Hamedpendar3333,2.0,14.0,0.0,11.0
skydanser,1.0,12.0,0.0,13.0
