user_id,user_blitz_rating,user_win_rate,user_lose_rate,user_draw_rate,user_game_count,user_black_win_rate,user_black_lose_rate,user_black_draw_rate,user_black_game_count,user_rating_deviation,user_op,game_result,op_rating_deviation,op_win_rate,op_lose_rate,op_draw_rate,op_game_count
HosseinBakhshi,1524.0,51.0,45.0,4.0,100.0,48.97959183673469,48.97959183673469,2.0408163265306123,49.0,45.14,ramon_1974,1,45.0,50.0,46.0,4.0,100.0
ollizinho,1546.0,46.0,49.0,5.0,100.0,43.13725490196079,52.94117647058824,3.92156862745098,51.0,45.08,jayqueJS,1,45.0,43.0,49.0,8.0,100.0
RaoufMatri,1604.0,49.0,48.0,3.0,100.0,55.76923076923077,44.230769230769226,0.0,52.0,45.0,maxi1829,1,45.08,53.0,43.0,4.0,100.0
istok17777,1632.0,43.0,50.0,7.0,100.0,44.230769230769226,46.15384615384615,9.615384615384617,52.0,45.02,leonciom,1,45.0,47.0,51.0,2.0,100.0
Zohre2,1548.0,43.0,54.0,3.0,100.0,48.97959183673469,51.02040816326531,0.0,49.0,45.22,bassy1985,0,45.03,52.0,45.0,3.0,100.0
castirrioja,1575.0,47.0,47.0,6.0,100.0,40.0,57.99999999999999,2.0,50.0,45.01,chees1234,-1,45.0,54.0,45.0,1.0,100.0
Miras4375,1462.0,46.0,52.0,2.0,50.0,48.14814814814815,48.14814814814815,3.7037037037037033,27.0,74.38,Andronov1312,-1,45.06,43.0,54.0,3.0,100.0
otyola,1762.0,44.0,47.0,9.0,100.0,47.05882352941176,45.09803921568628,7.84313725490196,51.0,45.38,saadschio,1,59.71,46.0,46.0,7.0,41.0
Pigeon2009,1754.0,71.0,19.0,9.0,21.0,50.0,30.0,20.0,10.0,80.13,sisyphoss7,1,45.28,56.0,42.0,2.0,100.0
atendi10,1474.0,45.0,51.0,4.0,100.0,40.0,54.0,6.0,50.0,45.09,beiragy,1,57.88,44.0,48.0,8.0,100.0
E3ssamX,1529.0,46.0,49.0,5.0,100.0,46.15384615384615,46.15384615384615,7.6923076923076925,52.0,45.17,TheBrose,-1,45.17,47.0,49.0,4.0,100.0
xwademi,1569.0,47.0,48.0,5.0,100.0,38.0,56.00000000000001,6.0,50.0,45.78,mx5nb,-1,45.29,50.0,45.0,5.0,100.0
FlyingRider,1550.0,48.0,49.0,3.0,100.0,46.0,52.0,2.0,50.0,45.1,Haksar,-1,45.0,48.0,50.0,2.0,100.0
doe_boi2k,1379.0,43.0,55.0,2.0,100.0,48.0,52.0,0.0,50.0,46.38,Schnickischnacki,-1,55.91,73.0,22.0,5.0,100.0
