user_id,win_streak_current,win_streak_max,loss_streak_current,loss_streak_max
outra_pessoa,1.0,11.0,0.0,12.0
DonquixoteRobin,0.0,1.0,1.0,3.0
tilin-insano,10.0,10.0,0.0,1.0
ChessGuess,0.0,9.0,4.0,11.0
Anskil490,0.0,8.0,1.0,9.0
Smokin555,0.0,10.0,2.0,12.0
Ajith330,4.0,10.0,0.0,10.0
PNBRQKA,0.0,0.0,0.0,0.0
Freezenwill,0.0,6.0,3.0,4.0
Fruehlingsschwalbe,0.0,3.0,1.0,6.0
cat_luna,0.0,19.0,1.0,5.0
Omarkobe,0.0,9.0,2.0,12.0
Syadin,0.0,14.0,4.0,13.0
Ving2009,0.0,8.0,0.0,7.0
M-Dimash,1.0,9.0,0.0,10.0
onkamatkar,0.0,9.0,1.0,11.0
saraj71,0.0,14.0,2.0,14.0
WannaCry2017,0.0,8.0,4.0,14.0
Monoco,1.0,8.0,0.0,7.0
lireuille7,0.0,10.0,2.0,10.0
Katonasz,0.0,12.0,2.0,11.0
MartiN_phl,2.0,9.0,0.0,6.0
iro007,2.0,13.0,0.0,13.0
Slob112,0.0,14.0,1.0,8.0
Ironslayerdead,0.0,9.0,1.0,15.0
Uhang_kincai,0.0,13.0,1.0,6.0
Dmytro-1,1.0,12.0,0.0,9.0
jonadav1995,0.0,10.0,2.0,11.0
JMStr8,2.0,15.0,0.0,14.0
ALebedevGuitar,0.0,7.0,1.0,7.0
Justdefense,0.0,8.0,1.0,3.0
il_76-il,1.0,26.0,0.0,13.0
SenuASK,0.0,9.0,4.0,10.0
vinodkedaram,0.0,13.0,1.0,12.0
ABC99999999,1.0,12.0,0.0,4.0
ramin_cihangir,0.0,1.0,1.0,1.0
vistanutzer,0.0,0.0,0.0,0.0
ethanlebg,3.0,9.0,0.0,9.0
Icoorus,0.0,7.0,3.0,11.0
amrghobara,0.0,4.0,1.0,12.0
Tasiman,1.0,9.0,0.0,13.0
jasurc443,2.0,9.0,0.0,6.0
odunkutk1,6.0,6.0,0.0,5.0
RoboGay,0.0,8.0,1.0,9.0
ManVanMelle,0.0,15.0,1.0,12.0
AT007338,0.0,2.0,1.0,17.0
Abhilash001,0.0,11.0,0.0,8.0
SteamPwrdAereoPawns,1.0,3.0,0.0,3.0
RAA74,3.0,11.0,0.0,12.0
MIKAELW,0.0,6.0,1.0,3.0
IRMANDADE,0.0,8.0,1.0,7.0
ObivanKenoby,1.0,7.0,0.0,5.0
progyprog,0.0,10.0,2.0,9.0
stalinic,1.0,12.0,0.0,12.0
Caro-KannMindControl,0.0,6.0,3.0,3.0
RRLLMM,0.0,13.0,2.0,13.0
Capitano181,1.0,10.0,0.0,6.0
MarceloBielsa33,1.0,9.0,0.0,6.0
rghrck,4.0,11.0,0.0,12.0
Bruncvik,1.0,16.0,0.0,9.0
Soham_Kulthe,0.0,3.0,1.0,7.0
pitagorin7,1.0,13.0,0.0,15.0
simone_rgm,3.0,9.0,0.0,10.0
HighVariance,0.0,10.0,5.0,9.0
AKS008,4.0,12.0,0.0,43.0
Vlasov_Alekxandr,5.0,14.0,0.0,8.0
viktor39,7.0,14.0,0.0,15.0
at-oturtma,0.0,4.0,3.0,8.0
HeKrOmAnT,0.0,9.0,1.0,9.0
pbkttc,0.0,18.0,1.0,7.0
aditivasudeva,0.0,18.0,4.0,9.0
PatushanXD,0.0,1.0,2.0,5.0
Blabub,0.0,10.0,2.0,12.0
Aisyahku,,,,
heisenberg_59,0.0,9.0,1.0,10.0
HaRrisoN_WellS_0,0.0,5.0,2.0,2.0
rs61,1.0,13.0,0.0,9.0
saharshamity,0.0,8.0,6.0,8.0
Ali_Ardabili,0.0,9.0,1.0,16.0
vishnu879,0.0,9.0,2.0,9.0
koala122,0.0,13.0,1.0,14.0
o7777,2.0,14.0,0.0,20.0
BARBAROSALover,0.0,11.0,0.0,12.0
soner_iu,9.0,9.0,0.0,2.0
Wladi-71,0.0,5.0,4.0,12.0
ian_j,1.0,14.0,0.0,8.0
czapus,0.0,14.0,1.0,10.0
Karavaev74,0.0,2.0,2.0,3.0
NAEEM600,1.0,13.0,0.0,6.0
EykaScada,0.0,16.0,3.0,13.0
chhota_bachha,0.0,9.0,2.0,4.0
awdangit,3.0,4.0,0.0,9.0
ekn_ylcn,0.0,10.0,4.0,6.0
Los5hermanos,2.0,30.0,0.0,9.0
fox080,0.0,7.0,1.0,8.0
DARCUAMIM,0.0,12.0,1.0,15.0
SMi_1970,0.0,21.0,1.0,9.0
biokompott,0.0,10.0,1.0,10.0
wirsch,1.0,10.0,0.0,15.0
Jesscalimag,1.0,12.0,0.0,12.0
GCarbajal,0.0,1.0,1.0,14.0
Frizzelhautern,2.0,8.0,0.0,8.0
davidjguillermo,2.0,11.0,0.0,13.0
MemoRmz,4.0,14.0,0.0,9.0
kabulos,0.0,2.0,1.0,2.0
dylane33,1.0,18.0,0.0,15.0
Aristotele73,0.0,1.0,2.0,4.0
polish_fighter,0.0,9.0,4.0,39.0
KasarLooper,0.0,5.0,2.0,7.0
jil1965,0.0,15.0,0.0,11.0
levchikbullet,3.0,3.0,0.0,0.0
Forestxxx,0.0,10.0,1.0,8.0
YankeeDodson,2.0,11.0,0.0,13.0
Bala79,0.0,0.0,2.0,2.0
Moraya,0.0,8.0,1.0,10.0
SoheiliM,0.0,7.0,1.0,5.0
demarcuscousins,0.0,17.0,0.0,6.0
G_krishnan,2.0,11.0,0.0,9.0
greennight,4.0,25.0,0.0,8.0
sereppy,11.0,11.0,0.0,11.0
AndyBoehme,2.0,12.0,0.0,12.0
Leopold12345,0.0,9.0,9.0,9.0
Teddy-Teclebrhan,0.0,13.0,1.0,6.0
qqwref,0.0,11.0,1.0,10.0
Ishmael_in_Chess,0.0,3.0,1.0,3.0
kahvitauko,0.0,18.0,0.0,18.0
hot_dog_beast,0.0,7.0,0.0,12.0
Mimma,2.0,12.0,0.0,8.0
