user_id,is_blitz
Rizal_karawang123,1
CIRVAL8086,1
Rhich60,1
leopoldorodinmendez,1
vickykatoch,1
Tomaszcek,1
PunsofSteel,1
maksi_q,1
simoma,1
Fr1edr1chb,1
Panter143,1
IdontCareitsBlitz,1
Roman4D,1
thirath,1
merzhvinskie,1
lichearao,1
TOPMASTERMIND,1
TT3657,1
Anaw20,1
carlos_antonio54,1
vivek8357,1
GreatDmitrus,1
davidbue,1
Albert3359,1
zeynep1987,1
tho_wei,1
rmbendien,1
alisenen,1
MyStudiesAccount,1
Victorfuentealba,1
Rybtsev555,1
Ethereal_Kent2,1
Rusthicc,1
totomart,1
broski1211,1
ramadass,1
BBaltair,1
ManasYT,1
jesusmz3,1
adeqe,1
WednesdayIsComing,1
Skamatt,1
Abutaym1973,1
grujas86,1
Fa13,1
farhadriahi,1
TomartusII,1
CallMeDa_Da182,1
QU357,1
Pawny2000,1
Dvt1939,1
lesha_86,1
rotomchess,1
vrfigue,1
kotokrokodyl,1
stakanevich,1
Alexey327,1
ozothman,1
PabloTapiales,1
mikigero,1
amiron25,1
Bobarg,1
Surepuk,1
Xi1315,1
goodgame_wellplayed,1
dangphong68,1
johannbrehmer,1
alex7251,1
arthurchebrys,1
w2maniek,1
JestGuess,1
surk,1
Krtekcze,1
Arthur_Dent81,1
MafaMpofu300,1
Ewker,1
jjarval,1
RashedAF,1
zayed0,1
Darth_Plague,1
Davidzon,1
ankit0051,1
Neel970,1
Gennek,1
AlexGarfxx,1
Gropa,1
pran2chess,1
Timon_1313,1
Syncroman,1
hnfchess,1
CHESSTEFFF,1
Lusavan,1
osgchef,1
Chess_To_Impress,1
knntny,1
IL1002,1
geronimo_nd,1
owlowl1,1
Nail2010,1
samuellush,1
semous97,1
supermengo2,1
bpk0,1
vbirlik,1
oshaar,1
Keyvanfeyzi,1
PaulMorfa,1
Cunctator,1
selvan7ram,1
LabastideJ,1
sach00011,1
xsolod3v,1
Olly9782,1
edoboy,1
IngAle85,1
VasiliusQQ,1
team2iRG-02,1
RichieOC,1
GennadiYyastreb,1
hoyjuegamessi,1
MarcosPod,1
AkoSiRaulGwapo,1
Himothy_88,1
Kostyantyn60,1
denizsahnn,1
taskourt,1
TUESREAL,1
sombramaligna,1
sanand_tripathi,1
Kabukusi,1
purusoth13,1
bare,1
castiel1406,1
evilrook,1
AlidarI,1
shanmug,1
red97red,1
IntuitionsofShiva,1
yamkara,1
go6poe_ympo,1
nomemates183,1
Ayoye,1
zoranmarovic,1
moeinasi,1
efigeniusx,1
Schachgehirn,1
ma-cychess,1
MNGERMANCHACING,1
Fischerstechen2017,1
zubreti,1
juups,1
dubravastreet,1
ROYALMATCH,1
amjafari,1
Dang_rous69,1
GketIv,1
flmel,1
jn2357,1
villaleg,1
Geroldd4,1
MRidwan_CT,1
ildarik13,1
ArchieMiller2015,1
Tintin88,1
ShalabayevSalim,1
emirchocles,1
jeanluhi25,1
rezaej,1
Frigue,1
Basta_kyut_ako,1
auriotorres96,1
stockynko,1
Vert1g0,1
GJETOST,1
Peter_Dankwa,1
elcordobez2,1
Duki97,1
sczyn,1
noneedapseudo1984,1
zapido55,1
svinjsko6,1
mario07022,1
Malay_Paul-023,1
Jeff701,1
Iman_akbari1993,1
VictoriaRosalindaPer,1
khrsawy,1
alisahin38,1
hoseynizad,1
echecetmat25,1
RyanSullivan,1
Boss_Boris24,1
hectorrr43,1
Stensson210,1
Latzar60,1
S00101,1
chessivan00,1
mahi5050,1
Farid_Lazizov_99_33,1
yazdan1987,1
nadimazar,1
miguelinks,1
JeanLimadeOliveira,1
SanjeevckK,1
facucrz,1
Albert_Henri,1
TykiMik,1
AdosCetin,1
fchenri,1
pai_adheer,1
bluezorro251,1
egorkokoko,1
Malconcuesta,1
ZXERFG,1
Lyttos,1
tbsuryadi,1
binenbojm,1
milan899,1
Denizbartan,1
HosseinAnsari,1
jawara04,1
albschne60,1
khdeir76,1
Nijiv,1
peko42,1
allan608,1
tanzamabgrund,1
Trynas,1
Vortep,1
chdk_29,1
mate0301,1
flymorgan,1
GiacDrum,1
RuslanMusaev,1
mad_018,1
Romaniusiusus,1
dagmar1803,1
Ganiga,1
Valdo_9182-1,1
