user_id,win_rate,lose_rate,draw_rate,game_count,blitz_rating
KappaAlphaIota,50.0,37.0,12.0,8.0,1173.0
VRAulia,56.0,38.0,6.0,100.0,2206.0
esprit2019,43.0,51.0,6.0,100.0,2391.0
concordians,55.0,43.0,2.0,100.0,1478.0
BirdNDamage,45.0,49.0,6.0,100.0,2244.0
Balalayka4,35.0,64.0,0.0,42.0,1936.0
userqueen5,0.0,100.0,0.0,3.0,1849.0
diogenisaidinidis,45.0,52.0,3.0,100.0,2100.0
alrom998,50.0,46.0,4.0,100.0,1513.0
tobe_peacedeath,100.0,0.0,0.0,3.0,1527.0
GrandmasterAbby,33.0,66.0,0.0,3.0,1382.0
CHANAKOST,55.0,41.0,4.0,100.0,1481.0
you_were_just_lucky,52.0,43.0,5.0,100.0,2155.0
nainika_790,20.0,75.0,5.0,100.0,1311.0
Min_Jay,53.0,43.0,3.0,30.0,1824.0
dglad,0.0,100.0,0.0,12.0,1600.0
arielt2008,39.0,59.0,2.0,100.0,1536.0
Eternojuvenil,24.0,76.0,0.0,100.0,1672.0
grgjr,53.0,46.0,1.0,100.0,1291.0
yashwanthgowda12,39.0,55.0,6.0,100.0,1727.0
Issamyounssi1,54.0,43.0,3.0,100.0,1602.0
VinceDPrime,39.0,59.0,2.0,100.0,1388.0
oojj77,47.0,47.0,6.0,100.0,2003.0
nooralyasry1995,47.0,51.0,2.0,100.0,1836.0
SendMeCapybaraVideos,51.0,41.0,8.0,100.0,2017.0
Sollecks,45.0,54.0,1.0,100.0,1956.0
Yaroslav34,56.0,41.0,3.0,100.0,1535.0
Nikita-ch,45.0,49.0,6.0,100.0,1758.0
raja226,42.0,52.0,6.0,100.0,1667.0
serhii17,37.0,61.0,2.0,100.0,1941.0
hamzakemelbek,22.0,66.0,11.0,27.0,1929.0
CS-7,7.0,84.0,7.0,39.0,1414.0
dzmitry_rekun,55.0,40.0,5.0,100.0,1900.0
Ljmalveda0827,51.0,41.0,8.0,100.0,1927.0
Utnapischtim,50.0,48.0,2.0,100.0,1636.0
Qazer1,0.0,100.0,0.0,3.0,1656.0
Rimbaud1971,46.0,46.0,8.0,100.0,2083.0
odeshog,59.0,37.0,4.0,100.0,2329.0
Ethan_15,75.0,25.0,0.0,12.0,1918.0
Rapapapatskyi,0.0,100.0,0.0,3.0,1148.0
alihmrashdi,57.0,42.0,0.0,21.0,1651.0
absolutegoist,49.0,40.0,11.0,100.0,1268.0
