user_id,user_resign_winrate,user_time_winrate,user_average_game_len,user_rating_deviation,op_id,op_resign_winrate,op_time_winrate,op_average_game_len,op_rating_deviation,game_result,op_average_best_win,user_average_best_win,best_win_diff,user_white_performance,user_black_performance,op_white_performance,op_black_performance,combined_draw4,user_time_performance,op_time_performance,user_performace,op_performance,rating_diff,user_resign_perf,op_resign_perf,game_count_ratio
VadimVal,0.655,0.2,605.0,52.24,valera56-56,0.645,0.129,605.0,45.12,-1.0,2033.0,2085.0,-56.0,1703.609375,2037.4646369999998,2662.00242,2484.86875,5.98525,0.0944,0.031734,2397.0,2346.0,-65.0,0.296715,0.37732499999999997,1.0
Dada040,0.267,0.233,273.0,45.05,rgpv,0.558,0.288,277.0,45.16,1.0,1768.0,1697.0,-37.0,2479.1843750000003,2582.609029,1967.2219420000001,2031.25,4.779,0.081084,0.072,2279.0,2296.0,-130.0,0.109203,0.288486,1.0
MRAdel99,0.31,0.293,248.0,45.71,ozinahutu,0.441,0.235,254.0,45.12,1.0,1912.6666666666667,1757.6666666666667,149.0,1766.5220430000002,1863.7944700000003,2788.031106,2867.4228879999996,4.000249999999999,0.07178499999999999,0.094,1980.0,2592.0,-10.0,0.13919,0.18301499999999998,1.0
Louis_de_Montfort,0.787,0.128,386.0,46.03,LevGutman,0.733,0.183,427.0,45.03,-1.0,2643.6666666666665,2521.3333333333335,125.0,2063.45361,1182.788172,3046.635484,2196.63702,8.787749999999999,0.08448,0.059292,1482.0,2600.0,-120.0,0.222721,0.485246,1.0
faisalparvez,0.375,0.031,291.0,61.05,Airdemon,0.333,0.333,279.0,55.31,-1.0,1458.3333333333333,1577.3333333333333,-8.0,1699.995,1112.636868,3626.378901,2763.64,3.6195,0.019126999999999998,0.038295,1364.0,3283.0,-14.0,0.018750000000000003,0.13653,1.0
mgh1978,0.615,0.154,372.0,45.04,shridhara1,0.627,0.169,461.0,45.03,-1.0,2236.3333333333335,1744.6666666666667,508.0,2241.763956,2016.15,2572.5722579999997,2417.592674,3.6047499999999997,0.031262000000000005,0.028223000000000005,3315.0,1598.0,17.0,0.432345,0.29469,1.0
Dragonmutt,0.629,0.21,369.0,45.1,SalemAlharbi,0.483,0.317,422.0,45.03,-1.0,2479.3333333333335,2498.0,18.0,3502.3066049999998,1658.99447,3133.664977,1351.79191,3.61,0.0399,0.028213,2646.0,1880.0,7.0,0.479298,0.310569,1.0
anabelen-abr,0.698,0.143,379.0,46.24,javyerhav,0.633,0.117,367.0,45.06,-1.0,1992.6666666666667,2127.3333333333335,-122.0,2573.26875,1792.533405,2338.0663799999998,1831.03125,7.63325,0.013298999999999998,0.045513000000000005,2464.0,1564.0,-83.0,0.543044,0.19939500000000002,1.0
shreeraksha,0.271,0.373,278.0,45.09,Dmitry125,0.348,0.167,198.0,45.21,1.0,1438.6666666666667,1550.6666666666667,-137.0,2615.035109,1573.803128,3435.962952,2033.907506,2.5015,0.0,0.078323,2208.0,2704.0,-47.0,0.152844,0.11971199999999999,1.0
Matti5,0.475,0.393,272.0,45.05,neil2017,0.516,0.297,266.0,45.1,-1.0,2538.6666666666665,2420.6666666666665,156.0,2529.75,1856.146404,2966.680222,2229.698016,2.395,0.11947200000000001,0.05197499999999999,2310.0,2365.0,-90.0,0.27122499999999994,0.204852,1.0
