user_id,user_resign_winrate,user_time_winrate,user_average_game_len,user_rating_deviation,op_id,op_resign_winrate,op_time_winrate,op_average_game_len,op_rating_deviation,game_result,op_average_best_win,user_average_best_win,best_average_win_diff,best_win_diff,user_white_performance,user_black_performance,op_white_performance,op_black_performance,draw_rate,combined_draw4,user_performace,op_performance,rating_diff,user_resign_perf,op_resign_perf,game_count_ratio
bhupendra68,0.237,0.305,276.0,45.65,bery88,0.298,0.263,258.0,48.06,1.0,1230.6666666666667,1448.0,217.33333333333326,-184.0,2331.546188,2578.160988,2328.591482,2414.792688,3.0,1.60675,2600.0,2250.0,115.0,0.252,0.313,0.78
bja555,0.673,0.173,277.0,45.52,F2-freestyle,0.551,0.232,293.0,45.0,1.0,2695.6666666666665,2838.0,142.33333333333348,-200.0,1509.2365859999998,1622.996018,2903.23125,2792.0829299999996,17.0,6.37,1640.0,2597.0,49.0,1.298,1.074,1.0
bja555,0.673,0.173,277.0,45.52,F2-freestyle,0.551,0.232,293.0,45.0,1.0,2695.6666666666665,2838.0,142.33333333333348,-200.0,1509.2365859999998,1622.996018,2903.23125,2792.0829299999996,17.0,6.37,1640.0,2597.0,49.0,1.298,1.074,1.0
bjlfzs,0.544,0.265,266.0,47.12,Blitzboi2,0.281,0.316,202.0,86.15,-1.0,2291.0,2250.0,41.0,37.0,3095.205018,2227.350384,2380.930722,1520.7377880000001,11.0,4.3845,2322.0,2100.0,-14.0,1.1179999999999999,1.036,1.0
bl4ckeagle10,0.258,0.177,317.0,163.74,shurido,0.27,0.524,267.0,95.44,-1.0,1175.6666666666667,1270.0,94.33333333333326,15.0,2416.0336199999997,2194.822656,2324.21875,2026.3400429999997,32.0,5.212250000000001,714.0,2565.0,-9.0,0.361,0.455,0.21
blindYouCanTryOnce,0.494,0.235,326.0,60.71,nikchess12,0.696,0.179,347.0,71.22,-1.0,2231.0,1898.3333333333333,332.66666666666674,409.0,3158.110464,3014.74404,1458.7435120000002,1321.0495740000001,7.0,5.640499999999999,3450.0,1175.0,55.0,1.194,1.337,0.12
blue_Air1,0.2,0.6,147.0,111.42,alessiodisiena,0.569,0.111,388.0,114.57,-1.0,1540.0,1585.0,45.0,-350.0,1444.8162539999998,285.71999999999997,5208.320238,3712.347291,1.0,1.694,1452.0,3630.0,-188.0,0.9650000000000001,1.394,0.27
bobbythekingofchess,0.684,0.193,267.0,49.25,Beautiful_Disaster,0.516,0.165,347.0,80.42,1.0,2717.3333333333335,2619.6666666666665,97.66666666666697,99.0,820.5330770000002,918.090678,3127.1400000000003,2214.482098,31.0,12.730500000000001,1344.0,2124.0,-7.0,1.226,1.233,1.0
boh_anu,0.462,0.135,398.0,80.05,Alik_Klim,0.464,0.145,539.0,45.25,1.0,1239.0,1354.6666666666667,115.66666666666674,-103.0,1948.0649349999999,1262.981848,3439.006479,2385.79418,12.0,6.365500000000001,1369.0,3136.0,13.0,0.5660000000000001,0.726,1.0
bookcase45,0.0,0.25,291.0,73.53,miriart,0.31,0.483,256.0,45.03,-1.0,1100.0,1149.6666666666667,49.66666666666674,-290.0,1079.3600000000001,259.876344,4722.2,3428.56,4.0,1.60025,480.0,4272.0,-12.0,0.476,0.6890000000000001,0.38
bp000001,0.49,0.392,240.0,45.0,d0n4th,0.631,0.077,229.0,45.01,1.0,2152.0,2043.0,109.0,153.0,2417.569011,1306.44,3282.287742,2188.0531379999998,7.0,4.824999999999999,2100.0,2530.0,52.0,0.999,1.5390000000000001,1.0
bredev,0.571,0.222,254.0,45.17,Oleshulg,0.467,0.1,239.0,45.07,1.0,2339.6666666666665,1945.0,394.6666666666665,524.0,2997.658704,1837.2030240000001,2646.1882560000004,1717.426854,8.0,4.42375,2397.0,2208.0,115.0,1.1469999999999998,0.9930000000000001,1.0
brunzkachln,0.429,0.175,301.0,45.1,heg0tgame,0.565,0.174,339.0,45.0,-1.0,2007.6666666666667,1481.3333333333333,526.3333333333335,567.0,2204.628748,1893.8265350000001,2830.405307,2204.628748,10.0,3.9939999999999998,1936.0,2550.0,-53.0,1.056,1.144,0.54
btahtabas,0.143,0.0,297.0,118.46,Pumita14,0.167,0.146,441.0,91.01,1.0,1107.6666666666667,997.6666666666666,110.00000000000011,80.0,1033.3400000000001,2324.776752,1641.005812,3200.0,43.0,7.55325,2200.0,748.0,55.0,0.189,0.229,0.32142857142857145
burma66,0.569,0.241,291.0,45.01,Adrillia,0.633,0.286,252.0,45.06,-1.0,2428.0,2472.3333333333335,44.333333333333485,-85.0,2457.7692779999998,2437.264516,1559.149872,2078.823656,15.0,7.60375,2365.0,1880.0,-35.0,1.281,1.202,1.0
butsukolivlang,0.592,0.225,257.0,46.8,KeinVerlust,0.661,0.196,258.0,45.12,1.0,2545.3333333333335,2482.3333333333335,63.0,82.0,2699.778809,2682.55,1746.0158729999998,1826.322407,13.0,4.40475,2346.0,2025.0,-59.0,1.059,1.199,1.0
