user_op,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len
erfanamandi1395,0,20.0,80.0,0.0,15.0,0.0,100.0,0.0,4.0,50.0,50.0,0.0,2.0,B01,C47,B01,C47,0.0,1.0,0.0,0.8,0.0,0.0,309.0
QYH,1,0.0,0.0,0.0,0.0,40.0,55.0,5.0,20.0,52.941,47.059,0.0,17.0,C50,B20,D35,D00,0.294,0.588,0.118,0.263,0.316,0.421,388.0
tanukithing,1,47.0,44.0,9.0,100.0,47.692,44.615,7.692,65.0,50.0,36.667,13.333,60.0,C20,C00,C02,B27,0.197,0.328,0.426,0.588,0.314,0.059,338.0
josh156,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pavel_01121981,-1,0.0,0.0,0.0,0.0,43.333,53.333,3.333,60.0,41.538,58.462,0.0,65.0,C50,B30,C45,D02,0.34,0.491,0.132,0.257,0.686,0.057,337.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Malijuke26,-1,50.0,45.0,5.0,100.0,54.688,39.062,6.25,64.0,39.344,57.377,3.279,61.0,C50,C40,B27,C47,0.407,0.322,0.136,0.65,0.033,0.2,366.0
Bomjara_806,-1,63.0,37.0,0.0,100.0,57.377,39.344,3.279,61.0,48.438,48.438,3.125,64.0,C50,C44,A06,B13,0.273,0.455,0.212,0.364,0.636,0.0,240.0
edmar89,1,50.0,46.0,4.0,100.0,50.769,44.615,4.615,65.0,51.667,43.333,5.0,60.0,C23,C40,A04,B10,0.297,0.344,0.344,0.927,0.0,0.073,231.0
ZxhjarieLeyn,1,40.0,59.0,1.0,100.0,45.161,51.613,3.226,62.0,38.095,61.905,0.0,63.0,C50,A00,D01,B20,0.346,0.519,0.115,0.366,0.535,0.056,320.0
AMC2004,1,23.0,70.0,6.0,90.0,38.636,52.273,9.091,44.0,41.667,55.556,2.778,36.0,nonStandard,C40,C20,A02,0.812,0.062,0.094,0.349,0.395,0.116,208.0
rgmohan,1,48.0,48.0,4.0,100.0,49.206,47.619,3.175,63.0,48.387,46.774,4.839,62.0,D02,A40,B23,D01,0.246,0.525,0.197,0.237,0.492,0.237,643.0
gizli,-1,49.0,49.0,2.0,100.0,48.387,46.774,4.839,62.0,44.444,55.556,0.0,63.0,A02,B00,A45,A00,0.397,0.414,0.155,0.516,0.422,0.062,512.0
sthbejaia,-1,45.0,52.0,3.0,100.0,47.619,49.206,3.175,63.0,45.161,51.613,3.226,62.0,C44,B01,B06,A45,0.31,0.517,0.121,0.365,0.381,0.159,299.0
H00007,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Capitol_K,-1,55.0,41.0,4.0,100.0,55.556,36.508,7.937,63.0,48.387,46.774,4.839,62.0,D00,D02,C01,C25,0.169,0.554,0.246,0.327,0.596,0.038,334.0
luismipeay,1,21.0,57.0,21.0,42.0,15.385,61.538,23.077,13.0,12.5,87.5,0.0,8.0,A00,A40,C00,B10,0.667,0.333,0.0,0.333,0.4,0.067,311.0
josemiguelsf,1,49.0,48.0,3.0,100.0,45.161,51.613,3.226,62.0,50.794,47.619,1.587,63.0,C50,C00,A00,D07,0.35,0.4,0.217,0.145,0.435,0.387,336.0
Minahasa_Passo,1,49.0,46.0,5.0,100.0,53.968,39.683,6.349,63.0,48.387,46.774,4.839,62.0,C50,A45,B03,B13,0.172,0.594,0.234,0.148,0.537,0.315,424.0
therealgada,1,47.0,51.0,2.0,100.0,51.613,45.161,3.226,62.0,49.206,50.794,0.0,63.0,C50,D20,C41,B30,0.254,0.571,0.159,0.233,0.683,0.083,308.0
Samy_de_Luxe,-1,51.0,41.0,8.0,100.0,54.839,40.323,4.839,62.0,46.032,39.683,14.286,63.0,A45,B00,A80,A48,0.048,0.746,0.206,0.14,0.36,0.5,717.0
