user_op,game_result,op_win_rate,op_lose_rate,op_draw_rate,op_game_count,white_win_rate,white_lose_rate,white_draw_rate,white_game_count,black_win_rate,black_lose_rate,black_draw_rate,black_game_count,top_eco,second_eco,top_winrate_eco,second_winrate_eco,mate_winrate,resign_winrate,time_winrate,mate_lossrate,resign_lossrate,time_lossrate,average_game_len
I_II_III_IIII_V,1,42.0,50.0,8.0,100.0,45.161,46.774,8.065,62.0,39.683,53.968,6.349,63.0,B10,C23,B34,D02,0.132,0.717,0.151,0.063,0.714,0.206,327.0
Feidl,-1,0.0,0.0,0.0,0.0,48.333,51.667,0.0,60.0,49.231,47.692,3.077,65.0,C41,B20,A45,B07,0.18,0.574,0.23,0.032,0.694,0.274,665.0
SantiFariasGomez,0,68.0,30.0,2.0,100.0,46.032,50.794,3.175,63.0,41.935,53.226,4.839,62.0,A40,B01,C31,C30,0.145,0.582,0.273,0.154,0.723,0.123,265.0
OrazbaevTemirkhan,1,47.0,51.0,2.0,100.0,47.541,50.82,1.639,61.0,43.75,54.688,1.562,64.0,D02,B10,E43,C40,0.351,0.579,0.053,0.212,0.636,0.03,286.0
nicknamer,0,53.0,39.0,8.0,100.0,57.143,34.921,7.937,63.0,43.548,56.452,0.0,62.0,B01,A40,A30,B34,0.317,0.556,0.095,0.105,0.754,0.123,287.0
Omerozdemir335606,1,57.0,42.0,0.0,21.0,46.97,51.515,1.515,66.0,50.847,49.153,0.0,59.0,D02,C50,A05,C60,0.311,0.541,0.131,0.667,0.143,0.175,389.0
tuandung2012,1,25.0,75.0,0.0,12.0,56.25,40.625,3.125,64.0,40.984,54.098,4.918,61.0,C50,C62,A46,B00,0.279,0.443,0.246,0.339,0.627,0.0,225.0
smlzr,-1,0.0,0.0,0.0,0.0,48.571,44.286,7.143,70.0,45.455,50.909,3.636,55.0,A04,D02,D30,B21,0.373,0.356,0.254,0.407,0.373,0.186,240.0
sikiandries,1,38.0,55.0,7.0,100.0,42.373,54.237,3.39,59.0,43.939,51.515,4.545,66.0,B00,C23,D00,A06,0.204,0.333,0.426,0.152,0.152,0.682,347.0
schmallworld,1,47.0,46.0,7.0,100.0,35.484,53.226,11.29,62.0,55.556,38.095,6.349,63.0,A00,C47,D00,A04,0.246,0.474,0.281,0.684,0.123,0.193,246.0
FoxOrLion,-1,53.0,46.0,1.0,100.0,56.452,40.323,3.226,62.0,46.032,53.968,0.0,63.0,B01,C50,B02,C40,0.25,0.453,0.281,0.441,0.39,0.169,234.0
zzr54,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,2.0,0.0,0.0,0.0,0.0,B00,C00,B00,C00,0.0,0.0,0.0,0.0,0.5,0.0,89.0
dykestm,-1,49.0,49.0,2.0,100.0,45.902,52.459,1.639,61.0,46.875,50.0,3.125,64.0,C50,D00,A01,C47,0.241,0.655,0.086,0.062,0.875,0.031,271.0
Van_der_Poel,1,47.0,51.0,2.0,100.0,50.794,49.206,0.0,63.0,48.387,48.387,3.226,62.0,C48,C20,C64,C23,0.323,0.419,0.242,0.377,0.607,0.016,327.0
TPABKA420,-1,44.0,52.0,4.0,100.0,47.458,52.542,0.0,59.0,43.939,50.0,6.061,66.0,C21,C40,C33,C01,0.298,0.544,0.105,0.281,0.578,0.047,339.0
edisupriadi,1,63.0,37.0,0.0,100.0,39.062,53.125,7.812,64.0,49.18,47.541,3.279,61.0,C42,A40,C21,A10,0.291,0.527,0.164,0.46,0.27,0.222,268.0
Stefy_83,-1,41.0,56.0,3.0,100.0,39.062,57.812,3.125,64.0,44.262,54.098,1.639,61.0,A40,B50,B00,D10,0.288,0.538,0.154,0.2,0.671,0.114,247.0
devsuyesh,1,51.0,47.0,2.0,100.0,54.839,45.161,0.0,62.0,47.619,47.619,4.762,63.0,B20,C50,B06,D30,0.156,0.578,0.25,0.155,0.741,0.034,320.0
BogdanKha,1,0.0,0.0,0.0,0.0,50.769,46.154,3.077,65.0,51.667,45.0,3.333,60.0,C00,D00,C20,B06,0.266,0.547,0.109,0.105,0.579,0.298,388.0
MomenIIM9,1,100.0,0.0,0.0,3.0,57.627,38.983,3.39,59.0,59.091,39.394,1.515,66.0,B10,D00,C02,C41,0.329,0.479,0.164,0.367,0.49,0.102,278.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
,401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alphazerostockfish,-1,47.0,46.0,7.0,100.0,58.73,34.921,6.349,63.0,38.71,54.839,6.452,62.0,E60,B21,E62,A56,0.361,0.508,0.131,0.179,0.625,0.196,264.0
aalex2024,1,28.0,69.0,3.0,100.0,26.667,71.667,1.667,60.0,21.538,73.846,4.615,65.0,C41,C20,C44,B06,0.267,0.3,0.367,0.824,0.088,0.088,256.0
The-wolf86,-1,46.0,49.0,5.0,100.0,56.452,38.71,4.839,62.0,42.857,50.794,6.349,63.0,D02,A40,A20,A13,0.177,0.468,0.355,0.107,0.661,0.196,421.0
Fernando_Alaniz,-1,0.0,0.0,0.0,0.0,36.207,55.172,8.621,58.0,47.761,52.239,0.0,67.0,A40,A45,D07,C20,0.226,0.34,0.396,0.284,0.552,0.119,239.0
pawnseller,1,55.0,45.0,0.0,100.0,56.452,43.548,0.0,62.0,50.794,47.619,1.587,63.0,C41,C44,B10,C22,0.448,0.433,0.09,0.035,0.246,0.719,424.0
Shukhrat_Zholdoshev,-1,0.0,0.0,0.0,0.0,57.143,42.857,0.0,63.0,37.097,58.065,4.839,62.0,B20,C50,C02,A02,0.288,0.441,0.237,0.317,0.619,0.032,333.0
erarudeska,-1,49.0,46.0,5.0,100.0,46.032,52.381,1.587,63.0,43.548,48.387,8.065,62.0,A00,A04,D05,C46,0.161,0.446,0.375,0.317,0.508,0.079,203.0
Jackie9Boy,-1,44.0,52.0,4.0,100.0,56.452,38.71,4.839,62.0,50.794,44.444,4.762,63.0,C41,C44,B50,C66,0.328,0.418,0.239,0.288,0.308,0.404,222.0
marcymarc24,1,69.0,21.0,9.0,99.0,48.387,45.161,6.452,62.0,50.794,39.683,9.524,63.0,B01,C00,B10,A57,0.145,0.516,0.29,0.226,0.585,0.189,247.0
Ach21,-1,39.0,56.0,5.0,100.0,39.344,54.098,6.557,61.0,45.312,53.125,1.562,64.0,D02,D05,A00,B02,0.377,0.415,0.132,0.045,0.075,0.881,626.0
maia1,-1,75.0,25.0,0.0,36.0,56.452,35.484,8.065,62.0,50.794,39.683,9.524,63.0,A40,C00,C01,D00,0.239,0.657,0.104,1.0,0.0,0.0,291.0
Slava_Ukraine_d2-d4,-1,73.0,26.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
darthmuur,-1,46.0,52.0,2.0,100.0,44.262,54.098,1.639,61.0,50.0,48.438,1.562,64.0,C20,C41,B10,A00,0.288,0.576,0.102,0.172,0.766,0.062,327.0
sissahungrychess,-1,80.0,20.0,0.0,30.0,50.769,44.615,4.615,65.0,61.667,36.667,1.667,60.0,nonStandard,B50,A40,E66,0.214,0.529,0.257,0.039,0.451,0.51,354.0
Glov52,0,0.0,0.0,0.0,0.0,52.381,39.683,7.937,63.0,46.774,45.161,8.065,62.0,B28,B21,A00,C72,0.145,0.468,0.339,0.264,0.434,0.283,453.0
